RACEDATE|RACECODE|RACENUMBER,PAUL LALLY,CLINT HUTCHINSON,BRETT DAVIS,ALAN AITKEN,MICHAEL COX,ANDREW HAWKINS,PHILLIP WOO,SHANNON,RPONLINE,RESULT,WINODDS,FAVPOS,FAVODDS,NORUNNERS,MARKET,SURFACE,CLASS,F4,TIERCE,QTT,DT,TT,TTCONS,6UP,6UPC,DH
20150520HV1,2-5-8,2-1-5,5-2-6,2-9-5-6,5-6-9-11,6-2-11-4,5-2-6-7,9-12-2-5,5-6-2-9,5-2-11-9,6.5,2,3.6,12,,,,,,,,,,,,
20150520HV2,5-1-11,9-3-4,6-2-9,5-2-6-10,5-11-4-6,5-6-2-4,9-2-3-5,9-5-2-4,5-4-9-6,2-11-5-4,3.4,1,3.4,12,,,,,,,,,,,,
20150520HV3,5-1-2,5-1-3,1-3-4,1-3-11-2,5-1-11-2,1-2-3-5,2-1-5-3,1-2-3-5,1-3-5-2,3-5-6-2,5.1,6,4.2,12,,,,,,,,,,,,
20150520HV4,6-7-10,6-7-1,7-6-2,6-2-8-11,6-2-4-11,6-2-7-10,6-2-8-1,7-6-2-10,6-2-11-10,10-6-11-12,6.6,6,3.5,12,,,,,,,,,,,,
20150520HV5,2-3-1,2-1-3,2-6-1,2-1-3-8,2-1-6-3,2-1-3-7,1-2-3-6,2-1-3-11,2-1-3-6,2-3-9-5,2.4,1,2.4,12,,,,,,,,,,,,
20150520HV6,3-5-11,11-9-5,5-12-9,12-5-11-9,5-7-8-9,12-11-5-3,1-11-3-4,1-5-11-2,1-9-5-12,11-2-3-10,7,7,3.6,12,,,,,,,,,,,,
20150520HV7,10-1-6,10-1-5,1-10-5,10-8-1-12,5-10-1-6,4-10-1-12,1-10-6-5,10-5-7-8,10-1-12-8,8-12-10-1,6.9,3,2.1,12,,,,,,,,,,,,
20150520HV8,1-7-4,4-1-7,8-7-4,8-12-3-1,8-4-5-3,8-7-4-3,1-5-7-2,8-3-4-1,4-8-3-1,4-9-1-2,3.1,1,3.1,12,,,,,,,,,,,,
20150516ST1,3-2-1,2-9-7,3-6-11,9-6-3-10,1-10-5-7,4-9-3-11,3-11-2-6,11-6-10-3,3-6-7-11,11-2-4-9,6.7,8,3.2,12,,,,,,,,,,,,
20150516ST2,6-9-10,4-6-2,4-14-6,13-14-6-2,6-10-14-1,4-6-14-2,9-13-2-10,6-2-13-14,2-14-9-6,6-2-1-9,5.1,8,4.1,14,,,,,,,,,,,,
20150516ST3,8-9-10,4-2-8,4-10-2,4-10-11-7,1-2-9-8,11-10-6-4,4-10-11-9,9-4-5-1,4-8-9-2,9-8-6-4,5.9,4,3.2,12,,,,,,,,,,,,
20150516ST4,2-9-11,10-2-3,9-2-10,8-3-9-12,2-3-9-10,3-2-11-10,2-10-11-9,9-2-8-10,2-3-9-11,2-9-13-7,3.3,1,3.2,14,,,,,,,,,,,,
20150516ST5,6-7-4,6-3-1,7-6-1,1-5-7-12,1-4-3-2,1-6-7-4,7-6-3-2,1-7-6-2,7-4-1-2,1-6-5-2,3.2,1,3.2,12,,,,,,,,,,,,
20150516ST6,1-3-5,4-7-1,1-7-9,1-9-7-11,1-5-3-10,7-1-2-3,1-9-3-4,1-8-9-5,1-5-3-9,1-5-10-9,1.9,1,1.9,14,,,,,,,,,,,,
20150516ST7,7-1-11,7-6-1,7-12-1,7-9-12-11,4-6-7-1,7-1-9-10,7-1-9-10,7-9-10-2,7-1-9-10,11-7-1-12,7.8,2,2.8,12,,,,,,,,,,,,
20150516ST8,6-11-3,6-11-7,11-6-7,6-11-13-7,13-11-6-7,5-6-11-13,6-11-7-1,13-6-7-4,7-6-2-13,10-8-1-6,21,14,3.2,14,,,,,,,,,,,,
20150516ST9,5-14-7,5-2-14,8-5-2,5-8-2-14,5-8-14-2,8-2-5-14,8-5-2-11,5-8-11-14,2-5-8-7,14-5-2-8,6,2,1.9,14,,,,,,,,,,,,
20150516ST10,7-5-12,7-1-10,7-10-5,5-10-7-2,5-2-3-11,3-5-7-12,5-7-1-4,7-2-4-10,7-5-1-2,1-4-12-2,13,6,2.3,12,,,,,,,,,,,,
20150524ST1,11-5-2,11-5-2,5-11-2,2-5-12-6,2-5-6-12,5-2-11-12,2-5-11-4,5-11-2-12,2-5-12-11,11-6-5-12,3.6,6,3,12,,,,,,,,,,,,
20150524ST2,1-8-4,8-1-4,1-8-3,1-5-8-7,8-10-1-4,8-10-4-11,8-1-5-4,8-3-1-5,8-10-1-5,8-9-4-1,2.5,1,2.5,12,,,,,,,,,,,,
20150524ST3,14-3-8,7-2-3,8-1-3,2-1-3-7,3-1-7-12,2-8-6-3,7-1-3-11,8-11-3-9,3-1-14-7,8-2-3-9,16,3,3.3,14,,,,,,,,,,,,
20150524ST4,3-4-2,4-8-3,3-10-9,3-10-9-5,10-5-3-4,3-5-10-4,3-10-8-5,3-11-4-10,3-10-5-4,3-2-5-9,1.9,1,1.9,12,,,,,,,,,,,,
20150524ST5,1-6-12,5-12-6,6-1-5,6-12-3-11,6-2-1-12,12-2-6-5,6-1-2-12,1-5-8-12,1-12-6-13,9-3-1-8,99,7,4.8,14,,,,,,,,,,,,
20150524ST6,9-10-12,12-9-3,8-3-10,1-3-9-12,3-2-1-9,6-3-12-1,9-12-5-2,8-10-9-6,9-2-12-6,3-10-1-9,6.5,4,4.3,12,,,,,,,,,,,,
20150524ST7,10-4-2,9-10-6,10-11-5,4-5-11-12,8-6-3-4,2-8-10-11,4-11-6-2,1-11-4-6,6-8-1-4,6-2-8-13,5.8,1,5.8,14,,,,,,,,,,,,
20150524ST8,12-8-5,4-12-14,14-4-8,4-14-1-10,10-8-4-5,4-1-8-10,10-4-5-8,12-8-14-10,8-1-10-4,12-14-10-11,12,3,5.8,13,,,,,,,,,,,,
20150524ST9,5-3-2,7-2-10,7-3-12,3-1-4-12,5-12-4-10,5-3-1-4,4-12-11-3,5-3-8-7,3-10-12-2,8-6-11-10,9.9,11,4.4,14,,,,,,,,,,,,
